Streams,BPM,Danceability,Valence,Energy,Acousticness,Liveness,Speechiness
Small Hit,Medium BPM,High Danceability,High Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,High Danceability,Medium Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,Medium Danceability,Low Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Medium Hit,High BPM,Medium Danceability,Medium Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,High BPM,Medium Danceability,Low Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,High BPM,High Danceability,Medium Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Medium Hit,High BPM,Medium Danceability,High Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,Medium Danceability,Low Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,High Danceability,Low Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Medium Hit,High BPM,High Danceability,Medium Valence,Low Energy,Low Acousticness,Low Liveness,Low Speechiness
Medium Hit,Low BPM,Medium Danceability,Medium Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,High BPM,High Danceability,Medium Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,Medium Danceability,Low Valence,Low Energy,High Acousticness,Low Liveness,Low Speechiness
Big Hit,High BPM,Medium Danceability,Medium Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Big Hit,Low BPM,Medium Danceability,Low Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,High Danceability,High Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,High Danceability,Medium Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,Medium Danceability,Low Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,Medium Danceability,High Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,Medium Danceability,High Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,High Danceability,High Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,High Danceability,High Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Medium Hit,Medium BPM,High Danceability,High Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,High Danceability,High Valence,High Energy,Low Acousticness,Medium Liveness,Low Speechiness
Small Hit,High BPM,Medium Danceability,Medium Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,Medium Danceability,High Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,High Danceability,Low Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,High BPM,Medium Danceability,Medium Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Medium Hit,Medium BPM,High Danceability,Low Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Medium Hit,Medium BPM,Medium Danceability,Medium Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Medium Hit,High BPM,High Danceability,Medium Valence,Medium Energy,Medium Acousticness,Low Liveness,Low Speechiness
Small Hit,High BPM,Medium Danceability,Low Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Big Hit,Medium BPM,High Danceability,Medium Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Medium Hit,Medium BPM,Medium Danceability,Low Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,High Danceability,High Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,High BPM,Medium Danceability,High Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Big Hit,Medium BPM,High Danceability,High Valence,Medium Energy,Medium Acousticness,Low Liveness,Low Speechiness
Big Hit,Medium BPM,Medium Danceability,Low Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Big Hit,Low BPM,Medium Danceability,Medium Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Medium Hit,Medium BPM,Medium Danceability,Low Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Big Hit,Medium BPM,Medium Danceability,Medium Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Big Hit,High BPM,Medium Danceability,Low Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Medium Hit,Low BPM,Medium Danceability,Medium Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,High Danceability,Low Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,Medium Danceability,Low Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,High Danceability,Medium Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,Medium Danceability,High Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Big Hit,Medium BPM,Low Danceability,Low Valence,Medium Energy,Medium Acousticness,Low Liveness,Low Speechiness
Big Hit,High BPM,Medium Danceability,Low Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,Medium Danceability,High Valence,High Energy,Medium Acousticness,Low Liveness,Low Speechiness
Big Hit,Medium BPM,High Danceability,High Valence,Medium Energy,Medium Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,High Danceability,Medium Valence,High Energy,Medium Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,Medium Danceability,High Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Medium Hit,Medium BPM,High Danceability,High Valence,Medium Energy,Medium Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,High Danceability,Medium Valence,Medium Energy,High Acousticness,Low Liveness,Low Speechiness
Medium Hit,Medium BPM,High Danceability,Low Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Big Hit,High BPM,Low Danceability,Low Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,Medium Danceability,Low Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,High BPM,Medium Danceability,High Valence,Low Energy,Medium Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,Medium Danceability,Low Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Low BPM,Medium Danceability,Low Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,High Danceability,High Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Big Hit,Low BPM,High Danceability,Medium Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Medium Hit,Medium BPM,Medium Danceability,Low Valence,Medium Energy,Medium Acousticness,Low Liveness,Low Speechiness
Big Hit,Medium BPM,Medium Danceability,Low Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Big Hit,Medium BPM,Low Danceability,Low Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Medium Hit,Medium BPM,Medium Danceability,Low Valence,Low Energy,Medium Acousticness,Low Liveness,Low Speechiness
Big Hit,Medium BPM,High Danceability,Low Valence,Low Energy,Low Acousticness,Low Liveness,Low Speechiness
Medium Hit,High BPM,High Danceability,Medium Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,Medium Danceability,Low Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Big Hit,Medium BPM,Low Danceability,Medium Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Medium Hit,Medium BPM,Low Danceability,Low Valence,Medium Energy,High Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,Medium Danceability,Low Valence,Low Energy,High Acousticness,Low Liveness,Low Speechiness
Small Hit,High BPM,Medium Danceability,Low Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Big Hit,High BPM,Medium Danceability,Low Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,High Danceability,Medium Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Big Hit,Medium BPM,Medium Danceability,Low Valence,Low Energy,High Acousticness,Low Liveness,Low Speechiness
Big Hit,Medium BPM,High Danceability,Low Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,High Danceability,Low Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,Medium Danceability,High Valence,High Energy,Medium Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,High Danceability,Medium Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,High BPM,High Danceability,High Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,High BPM,Medium Danceability,Low Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Medium Hit,Medium BPM,Medium Danceability,Low Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Low BPM,Medium Danceability,Low Valence,Low Energy,Low Acousticness,High Liveness,Low Speechiness
Small Hit,High BPM,High Danceability,Medium Valence,Low Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,Low Danceability,Low Valence,Low Energy,High Acousticness,Low Liveness,Low Speechiness
Small Hit,High BPM,Medium Danceability,Low Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Medium Hit,Medium BPM,Medium Danceability,Low Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,Medium Danceability,Medium Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Medium Hit,High BPM,Low Danceability,Medium Valence,Medium Energy,Medium Acousticness,Low Liveness,Low Speechiness
Small Hit,Low BPM,Medium Danceability,Low Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,High BPM,Medium Danceability,Low Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Big Hit,Low BPM,Medium Danceability,Low Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,High Danceability,Medium Valence,High Energy,Medium Acousticness,Low Liveness,Low Speechiness
Small Hit,High BPM,Medium Danceability,Medium Valence,Low Energy,Medium Acousticness,Low Liveness,Low Speechiness
Big Hit,Medium BPM,High Danceability,High Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Big Hit,Medium BPM,Medium Danceability,Low Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Medium Hit,Medium BPM,High Danceability,Medium Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Big Hit,Medium BPM,Medium Danceability,Low Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Big Hit,High BPM,High Danceability,Low Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,Medium Danceability,Low Valence,Low Energy,High Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,High Danceability,High Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,Medium Danceability,Low Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Big Hit,Medium BPM,Medium Danceability,Medium Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Big Hit,Medium BPM,Medium Danceability,Low Valence,Medium Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,High BPM,Medium Danceability,Low Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,High Danceability,High Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
Small Hit,Medium BPM,High Danceability,High Valence,High Energy,Low Acousticness,Low Liveness,Low Speechiness
